,sequence,gdaxi,ftse,gspc
,,,,
Date,,,,
2010-07-26,9503.66015625,6194.2099609375,5351.10009765625,1115.010009765625
2010-07-27,9496.849609375,6207.31005859375,5365.7001953125,1113.8399658203125
2010-07-28,9753.26953125,6178.93994140625,5319.7001953125,1106.1300048828125
2010-07-29,9696.01953125,6134.7001953125,5314.0,1101.530029296875
2010-07-30,9537.2998046875,6147.97021484375,5258.0,1101.5999755859375
2010-08-02,9570.3095703125,6292.1298828125,5397.10009765625,1125.8599853515625
2010-08-03,9694.009765625,6307.91015625,5396.5,1120.4599609375
2010-08-04,9489.33984375,6331.330078125,5386.2001953125,1127.239990234375
2010-08-05,9653.919921875,6333.580078125,5365.7998046875,1125.81005859375
2010-08-06,9642.1201171875,6259.6298828125,5332.39990234375,1121.6400146484375
2010-08-09,9572.490234375,6351.60009765625,5410.5,1127.7900390625
2010-08-10,9551.0498046875,6286.25,5376.39990234375,1121.06005859375
2010-08-11,9292.849609375,6154.06982421875,5245.2001953125,1089.469970703125
2010-08-12,9212.58984375,6135.169921875,5266.10009765625,1083.6099853515625
2010-08-13,9253.4599609375,6110.41015625,5275.39990234375,1079.25
2010-08-16,9196.669921875,6110.56982421875,5276.10009765625,1079.3800048828125
2010-08-17,9161.6796875,6206.39990234375,5350.60009765625,1092.5400390625
2010-08-18,9240.5400390625,6186.31005859375,5302.89990234375,1094.1600341796875
2010-08-19,9362.6796875,6075.1298828125,5211.2998046875,1075.6300048828125
2010-08-20,9179.3798828125,6005.16015625,5195.2998046875,1071.68994140625
2010-08-23,9116.6904296875,6010.91015625,5234.7998046875,1067.3599853515625
2010-08-24,8995.1396484375,5935.43994140625,5156.0,1051.8699951171875
2010-08-25,8845.3896484375,5899.5,5109.39990234375,1055.3299560546875
2010-08-26,8906.48046875,5912.580078125,5155.7998046875,1047.219970703125
2010-08-27,8991.0595703125,5951.169921875,5201.60009765625,1064.5899658203125
2010-08-30,9149.259765625,5912.41015625,5201.60009765625,1048.9200439453125
2010-08-31,8824.0595703125,5925.22021484375,5225.2001953125,1049.3299560546875
2010-09-01,8927.01953125,6083.89990234375,5366.39990234375,1080.2900390625
2010-09-02,9062.83984375,6083.85009765625,5371.0,1090.0999755859375
2010-09-03,9114.1298828125,6134.6201171875,5428.2001953125,1104.510009765625
2010-09-06,9301.3203125,6155.0400390625,5439.2001953125,1104.510009765625
2010-09-07,9226.0,6117.89013671875,5407.7998046875,1091.8399658203125
2010-09-08,9024.599609375,6164.43994140625,5429.7001953125,1098.8699951171875
2010-09-09,9098.3896484375,6221.52001953125,5494.2001953125,1104.1800537109375
2010-09-10,9239.169921875,6214.77001953125,5501.60009765625,1109.550048828125
2010-09-13,9321.8203125,6261.68017578125,5565.5,1121.9000244140625
